epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.86046,1.99695,3.5831,1.95045,0.00611,0.73333,0.0105,0.0046,1.76261,3.27931,1.88779,6e-05,6e-05,6e-05
2,5.09296,2.00848,3.46039,1.8794,0.00694,0.83333,0.21764,0.15666,1.09427,2.8762,1.24134,0.00013307,0.00013307,0.00013307
3,6.83738,1.24341,2.71761,1.32901,0.00639,0.76667,0.25768,0.1641,1.094,2.78072,1.08573,0.00019822,0.00019822,0.00019822
4,8.8967,1.12857,2.14657,1.23001,0.00641,0.76667,0.38348,0.27669,0.68676,2.61517,0.91897,0.00025545,0.00025545,0.00025545
5,10.3513,1.0584,1.62044,1.15308,0.00667,0.8,0.37826,0.28548,0.87181,2.65153,1.03377,0.00030476,0.00030476,0.00030476
6,11.5693,1.01757,1.62887,1.13201,0.00667,0.8,0.39181,0.31429,0.80072,2.63647,0.98977,0.00034615,0.00034615,0.00034615
7,12.8373,0.94075,1.49339,1.08432,0.00667,0.8,0.3794,0.32363,0.75597,2.58866,0.9555,0.00037962,0.00037962,0.00037962
8,14.1334,0.94142,1.42253,1.10019,0.26473,0.53333,0.38566,0.3041,0.85149,2.54669,0.99812,0.00040517,0.00040517,0.00040517
9,15.363,0.87467,1.2602,1.04598,0.82491,0.26667,0.46022,0.35087,0.84885,2.44976,0.98127,0.0004228,0.0004228,0.0004228
10,16.6387,0.87649,1.30754,1.0529,0.88402,0.16667,0.49945,0.36709,0.8308,2.4671,0.96668,0.00043251,0.00043251,0.00043251
11,19.391,0.83118,1.58336,1.0635,0.57021,0.16667,0.36476,0.23161,0.99737,2.68937,1.04849,0.0004343,0.0004343,0.0004343
12,21.8022,0.80986,1.50985,1.02101,0.51402,0.36667,0.44746,0.32867,0.9285,2.5532,0.9974,0.00042817,0.00042817,0.00042817
13,23.9448,0.81039,1.37562,1.03695,1,0.33492,0.54771,0.39041,0.89913,2.29229,0.98091,0.00041412,0.00041412,0.00041412
14,25.1989,0.74041,1.2837,0.9437,1,0.41162,0.56373,0.44695,0.88147,2.14289,0.95082,0.00039215,0.00039215,0.00039215
15,26.3381,0.69391,1.25102,0.98636,0.94172,0.43333,0.58128,0.46813,0.78528,1.87717,0.90138,0.00036226,0.00036226,0.00036226
16,27.4843,0.75071,1.23641,0.98773,1,0.43304,0.57978,0.4729,0.80071,1.89417,0.89608,0.00032445,0.00032445,0.00032445
17,28.5777,0.68974,1.23761,0.96388,1,0.39109,0.57746,0.47588,0.77122,1.90496,0.88132,0.00027872,0.00027872,0.00027872
18,29.7405,0.73884,1.18945,0.96619,1,0.48356,0.59958,0.49925,0.75573,1.77179,0.8713,0.00022507,0.00022507,0.00022507
19,30.8616,0.72453,1.24397,0.97099,0.98835,0.5,0.59656,0.50681,0.72778,1.66453,0.85162,0.0001635,0.0001635,0.0001635
20,31.9703,0.6639,1.1757,0.93482,1,0.51686,0.59988,0.51321,0.6996,1.56813,0.83604,9.401e-05,9.401e-05,9.401e-05
